date_of_trip,Member type,count
2011-01-18,Casual,9
2011-01-18,Member,663
2011-01-19,Casual,78
2011-01-19,Member,1553
2011-01-20,Casual,81
2011-01-20,Member,1815
2011-01-21,Casual,73
2011-01-21,Member,1449
2011-01-22,Casual,93
2011-01-22,Member,876
2011-01-23,Casual,150
2011-01-23,Member,827
2011-01-24,Casual,86
2011-01-24,Member,1319
2011-01-25,Casual,186
2011-01-25,Member,1785
2011-01-26,Casual,34
2011-01-26,Member,466
2011-01-27,Casual,15
2011-01-27,Member,409
2011-01-28,Casual,38
2011-01-28,Member,1113
2011-01-29,Casual,123
2011-01-29,Member,947
2011-01-30,Casual,140
2011-01-30,Member,944
2011-01-31,Casual,42
2011-01-31,Member,1376
2011-02-01,Casual,47
2011-02-01,Member,1284
2011-02-02,Casual,72
2011-02-02,Member,1430
2011-02-03,Casual,61
2011-02-03,Member,1473
2011-02-04,Casual,88
2011-02-04,Member,1603
2011-02-05,Casual,100
2011-02-05,Member,892
2011-02-06,Casual,354
2011-02-06,Member,1249
2011-02-07,Casual,119
2011-02-07,Member,1568
2011-02-08,Casual,64
2011-02-08,Member,1446
2011-02-09,Casual,52
2011-02-09,Member,1540
2011-02-10,Casual,46
2011-02-10,Member,1474
2011-02-11,Casual,148
2011-02-11,Member,1576
2011-02-12,Casual,288
2011-02-12,Member,1167
2011-02-13,Casual,396
2011-02-13,Member,1162
2011-02-14,Casual,207
2011-02-14,Member,1685
2011-02-15,Casual,139
2011-02-15,Member,1641
2011-02-16,Casual,218
2011-02-16,Member,1861
2011-02-17,Casual,258
2011-02-17,Member,2185
2011-02-18,Casual,578
2011-02-18,Member,2314
2011-02-19,Casual,532
2011-02-19,Member,1077
2011-02-20,Casual,639
2011-02-20,Member,1148
2011-02-21,Casual,195
2011-02-21,Member,898
2011-02-22,Casual,74
2011-02-22,Member,1358
2011-02-23,Casual,139
2011-02-23,Member,1740
2011-02-24,Casual,100
2011-02-24,Member,1686
2011-02-25,Casual,120
2011-02-25,Member,1323
2011-02-26,Casual,424
2011-02-26,Member,1519
2011-02-27,Casual,694
2011-02-27,Member,1677
2011-02-28,Casual,80
2011-02-28,Member,1350
2011-03-01,Casual,137
2011-03-01,Member,1695
2011-03-02,Casual,231
2011-03-02,Member,1878
